date,fund,company,ticker,cusip,shares,market value($),weight(%),market value ($),weight (%)
10/04/2021,ARKK,TESLA INC,TSLA,88160R101,,,,"$1,985,408,189.80",10.14%
10/04/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,,,,"$1,098,634,240.02",5.61%
10/04/2021,ARKK,ROKU INC,ROKU,77543R102,,,,"$1,097,010,061.92",5.60%
10/04/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,,,,"$1,008,021,110.40",5.15%
10/04/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,,,,"$973,069,739.30",4.97%
10/04/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,,,,"$888,965,958.63",4.54%
10/04/2021,ARKK,SQUARE INC - A,SQ,852234103,,,,"$784,119,590.11",4.01%
10/04/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,,,,"$751,627,928.35",3.84%
10/04/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,,,,"$733,750,391.88",3.75%
10/04/2021,ARKK,TWILIO INC - A,TWLO,90138F102,,,,"$653,852,198.97",3.34%
10/04/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,,,,"$639,767,004.45",3.27%
10/04/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,,,,"$617,683,049.28",3.16%
10/04/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,,,,"$614,405,259.72",3.14%
10/04/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,,,,"$578,316,071.10",2.95%
10/04/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,,,,"$549,533,252.48",2.81%
10/04/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,,,,"$544,194,300.04",2.78%
10/04/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,,,,"$539,739,234.12",2.76%
10/04/2021,ARKK,TWITTER INC,TWTR,90184L102,,,,"$491,721,986.82",2.51%
10/04/2021,ARKK,INVITAE CORP,NVTA,46185L103,,,,"$448,438,479.28",2.29%
10/04/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,,,,"$427,966,686.70",2.19%
10/04/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,,,,"$363,367,749.50",1.86%
10/04/2021,ARKK,DOCUSIGN INC,DOCU,256163106,,,,"$325,072,973.69",1.66%
10/04/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,,,,"$302,806,574.98",1.55%
10/04/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,,,,"$293,253,120.00",1.50%
10/04/2021,ARKK,PAGERDUTY INC,PD,69553P100,,,,"$290,030,457.60",1.48%
10/04/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,,,,"$248,115,765.50",1.27%
10/04/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,,,,"$234,259,296.60",1.20%
10/04/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,,,,"$219,160,797.20",1.12%
10/04/2021,ARKK,VERACYTE INC,VCYT,92337F107,,,,"$172,463,741.28",0.88%
10/04/2021,ARKK,2U INC,TWOU,90214J101,,,,"$172,353,215.48",0.88%
10/04/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,,,,"$165,686,378.50",0.85%
10/04/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,,,,"$159,089,760.83",0.81%
10/04/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,,,,"$150,520,923.20",0.77%
10/04/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,,,,"$140,864,992.00",0.72%
10/04/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,,,,"$135,575,875.64",0.69%
10/04/2021,ARKK,SKILLZ INC,SKLZ,83067L109,,,,"$116,165,876.47",0.59%
10/04/2021,ARKK,TRIMBLE INC,TRMB,896239100,,,,"$114,067,924.88",0.58%
10/04/2021,ARKK,PROTO LABS INC,PRLB,743713109,,,,"$97,666,014.71",0.50%
10/04/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,,,,"$91,494,946.58",0.47%
10/04/2021,ARKK,STRATASYS LTD,SSYS,M85548101,,,,"$78,543,678.18",0.40%
